Country,Date,"Cumulative no. of confirmed, probable and suspected cases","Cumulative no. of confirmed, probable and suspected deaths"
Nigeria,11/7/14,20,8
Guinea,11/7/14,1760,1054
Sierra Leone,11/7/14,4862,1130
Liberia,11/7/14,6619,2766
Spain,11/12/14,1,0
Senegal,11/12/14,1,0
United States of America,11/12/14,4,1
Mali,11/12/14,4,4
Nigeria,11/12/14,20,8
Guinea,11/12/14,1878,1142
Sierra Leone,11/12/14,5368,1169
Liberia,11/12/14,6822,2836
Senegal,11/14/14,1,0
Spain,11/14/14,1,0
United States of America,11/14/14,4,1
Mali,11/14/14,4,3
Nigeria,11/14/14,20,8
Guinea,11/14/14,1919,1166
Sierra Leone,11/14/14,5586,1187
Liberia,11/14/14,6878,2812
Spain,11/19/14,1,0
Senegal,11/19/14,1,0
United States of America,11/19/14,4,1
Mali,11/19/14,6,5
Nigeria,11/19/14,20,8
Guinea,11/19/14,1971,1192
Sierra Leone,11/19/14,6073,1250
Liberia,11/19/14,7069,2964
Spain,11/21/14,1,0
Senegal,11/21/14,1,0
United States of America,11/21/14,4,1
Mali,11/21/14,6,6
Nigeria,11/21/14,20,8
Guinea,11/21/14,2047,1214
Sierra Leone,11/21/14,6190,1267
Liberia,11/21/14,7082,2963
Spain,11/26/14,1,0
Senegal,11/26/14,1,0
United States of America,11/26/14,4,1
Mali,11/26/14,8,6
Nigeria,11/26/14,20,8
Guinea,11/26/14,2134,1260
Sierra Leone,11/26/14,6599,1398
Liberia,11/26/14,7168,3016
Senegal,12/1/14,1,0
Spain,12/1/14,1,0
United States of America,12/1/14,4,1
Mali,12/1/14,8,6
Nigeria,12/1/14,20,8
Guinea,12/1/14,2155,1312
Sierra Leone,12/1/14,7109,1530
Liberia,12/1/14,7635,3145
Spain,12/3/14,1,0
Senegal,12/3/14,1,0
United States of America,12/3/14,4,1
Mali,12/3/14,8,6
Nigeria,12/3/14,20,8
Guinea,12/3/14,2164,1327
Sierra Leone,12/3/14,7312,1583
Liberia,12/3/14,7635,3145
Spain,12/10/14,1,0
Senegal,12/10/14,1,0
United States of America,12/10/14,4,1
Mali,12/10/14,8,6
Nigeria,12/10/14,20,8
Guinea,12/10/14,2292,1428
Sierra Leone,12/10/14,7897,1768
Liberia,12/10/14,7719,3177
Spain,12/15/14,1,0
Senegal,12/15/14,1,0
United States of America,12/15/14,4,1
Mali,12/15/14,8,6
Nigeria,12/15/14,20,8
Guinea,12/15/14,2394,1518
Sierra Leone,12/15/14,8273,2033
Liberia,12/15/14,7797,3290
Senegal,12/17/14,1,0
Spain,12/17/14,1,0
United States of America,12/17/14,4,1
Mali,12/17/14,8,6
Nigeria,12/17/14,20,8
Guinea,12/17/14,2416,1525
Sierra Leone,12/17/14,8356,2085
Liberia,12/17/14,7797,3290
Spain,12/22/14,1,0
Senegal,12/22/14,1,0
United States of America,12/22/14,4,1
Mali,12/22/14,8,6
Nigeria,12/22/14,20,8
Guinea,12/22/14,2571,1586
Sierra Leone,12/22/14,8939,2556
Liberia,12/22/14,7830,3376
Spain,12/23/14,1,0
Senegal,12/23/14,1,0
United States of America,12/23/14,4,1
Mali,12/23/14,8,6
Nigeria,12/23/14,20,8
Guinea,12/23/14,2597,1607
Sierra Leone,12/23/14,9004,2582
Liberia,12/23/14,7830,3376
Senegal,12/24/14,1,0
Spain,12/24/14,1,0
United States of America,12/24/14,4,1
Mali,12/24/14,8,6
Nigeria,12/24/14,20,8
Guinea,12/24/14,2597,1607
Sierra Leone,12/24/14,9004,2582
Liberia,12/24/14,7862,3384
Senegal,12/26/14,1,0
Spain,12/26/14,1,0
United States of America,12/26/14,4,1
Mali,12/26/14,8,6
Nigeria,12/26/14,20,8
Guinea,12/26/14,2630,1654
Sierra Leone,12/26/14,9203,2655
Liberia,12/26/14,7862,3384
Senegal,12/29/14,1,0
Spain,12/29/14,1,0
United States of America,12/29/14,4,1
Mali,12/29/14,8,6
Nigeria,12/29/14,20,8
Guinea,12/29/14,2695,1697
Sierra Leone,12/29/14,9409,2732
Liberia,12/29/14,7977,3413
Spain,12/30/14,1,0
Senegal,12/30/14,1,0
United States of America,12/30/14,4,1
Mali,12/30/14,8,6
Nigeria,12/30/14,20,8
Guinea,12/30/14,2706,1708
Sierra Leone,12/30/14,9446,2758
Liberia,12/30/14,7977,3413
Spain,12/31/14,1,0
Senegal,12/31/14,1,0
United States of America,12/31/14,4,1
Mali,12/31/14,8,6
Nigeria,12/31/14,20,8
Guinea,12/31/14,2707,1709
Sierra Leone,12/31/14,9446,2758
Liberia,12/31/14,8018,3423
United Kingdom,1/2/15,0,0
Spain,1/2/15,1,0
Senegal,1/2/15,1,0
United States of America,1/2/15,4,1
Mali,1/2/15,8,6
Nigeria,1/2/15,20,8
Guinea,1/2/15,2730,1739
Sierra Leone,1/2/15,9633,2827
Liberia,1/2/15,8018,3423
United Kingdom,1/5/15,0,0
Spain,1/5/15,1,0
Senegal,1/5/15,1,0
United States of America,1/5/15,4,1
Mali,1/5/15,8,6
Nigeria,1/5/15,20,8
Guinea,1/5/15,2769,1767
Sierra Leone,1/5/15,9772,2915
Liberia,1/5/15,8115,3471
United Kingdom,1/6/15,1,0
Spain,1/6/15,1,0
Senegal,1/6/15,1,0
United States of America,1/6/15,4,1
Mali,1/6/15,8,6
Nigeria,1/6/15,20,8
Guinea,1/6/15,2775,1781
Sierra Leone,1/6/15,9780,2943
Liberia,1/6/15,8157,3496
Spain,1/7/15,1,0
Senegal,1/7/15,1,0
United Kingdom,1/7/15,1,0
United States of America,1/7/15,4,1
Mali,1/7/15,8,6
Nigeria,1/7/15,20,8
Guinea,1/7/15,2775,1781
Sierra Leone,1/7/15,9780,2943
Liberia,1/7/15,8157,3496
United Kingdom,1/8/15,,0
Mali,1/8/15,,6
Guinea,1/8/15,2776,1786
Sierra Leone,1/8/15,10030,2977
Liberia,1/8/15,8166,3496
United Kingdom,1/9/15,,0
Mali,1/9/15,,6
Guinea,1/9/15,2793,1797
Sierra Leone,1/9/15,10030,2977
Liberia,1/9/15,8263,3515
United Kingdom,1/12/15,,0
Mali,1/12/15,,6
Guinea,1/12/15,2799,1807
Sierra Leone,1/12/15,10094,3049
Liberia,1/12/15,8278,3515
United Kingdom,1/13/15,,0
Mali,1/13/15,,6
Guinea,1/13/15,2799,1807
Sierra Leone,1/13/15,10094,3049
Liberia,1/13/15,8278,3515
Senegal,1/14/15,1,0
Spain,1/14/15,1,0
United Kingdom,1/14/15,1,0
United States of America,1/14/15,4,1
Mali,1/14/15,8,6
Nigeria,1/14/15,20,8
Guinea,1/14/15,2806,1814
Sierra Leone,1/14/15,10124,3062
Liberia,1/14/15,8331,3538
Spain,1/15/15,1,0
United Kingdom,1/15/15,1,0
Senegal,1/15/15,1,0
United States of America,1/15/15,4,1
Mali,1/15/15,8,6
Nigeria,1/15/15,20,8
Guinea,1/15/15,2817,1821
Sierra Leone,1/15/15,10150,3067
Liberia,1/15/15,8362,3556
Spain,1/16/15,1,0
Senegal,1/16/15,1,0
United Kingdom,1/16/15,1,0
United States of America,1/16/15,4,1
Mali,1/16/15,8,6
Nigeria,1/16/15,20,8
Guinea,1/16/15,2825,1829
Sierra Leone,1/16/15,10186,3083
Liberia,1/16/15,8362,3556
United Kingdom,1/19/15,1,0
Spain,1/19/15,1,0
Senegal,1/19/15,1,0
United States of America,1/19/15,4,1
Mali,1/19/15,8,6
Nigeria,1/19/15,20,8
Guinea,1/19/15,2873,1875
Sierra Leone,1/19/15,10306,3132
Liberia,1/19/15,8435,3587
Spain,1/20/15,1,0
United Kingdom,1/20/15,1,0
Senegal,1/20/15,1,0
United States of America,1/20/15,4,1
Mali,1/20/15,8,6
Nigeria,1/20/15,20,8
Guinea,1/20/15,2871,1876
Sierra Leone,1/20/15,10340,3145
Liberia,1/20/15,8478,3605
Spain,1/21/15,1,0
Senegal,1/21/15,1,0
United Kingdom,1/21/15,1,0
United States of America,1/21/15,4,1
Mali,1/21/15,8,6
Nigeria,1/21/15,20,8
Guinea,1/21/15,2871,1876
Sierra Leone,1/21/15,10340,3145
Liberia,1/21/15,8478,3605
Senegal,1/22/15,1,0
Spain,1/22/15,1,0
United Kingdom,1/22/15,1,0
United States of America,1/22/15,4,1
Mali,1/22/15,8,6
Nigeria,1/22/15,20,8
Guinea,1/22/15,2873,1879
Sierra Leone,1/22/15,10362,3153
Liberia,1/22/15,8524,3636
Spain,1/23/15,1,0
Senegal,1/23/15,1,0
United Kingdom,1/23/15,1,0
United States of America,1/23/15,4,1
Mali,1/23/15,8,6
Nigeria,1/23/15,20,8
Guinea,1/23/15,2873,1880
Sierra Leone,1/23/15,10400,3159
Liberia,1/23/15,8524,3636
Senegal,1/26/15,1,0
United Kingdom,1/26/15,1,0
Spain,1/26/15,1,0
United States of America,1/26/15,4,1
Mali,1/26/15,8,6
Nigeria,1/26/15,20,8
Guinea,1/26/15,2909,1906
Sierra Leone,1/26/15,10491,3195
Liberia,1/26/15,8524,3636
Spain,1/27/15,1,0
Senegal,1/27/15,1,0
United Kingdom,1/27/15,1,0
United States of America,1/27/15,4,1
Mali,1/27/15,8,6
Nigeria,1/27/15,20,8
Guinea,1/27/15,2917,1910
Sierra Leone,1/27/15,10518,3199
Liberia,1/27/15,8622,3686
Senegal,1/28/15,1,0
Spain,1/28/15,1,0
United Kingdom,1/28/15,1,0
United States of America,1/28/15,4,1
Mali,1/28/15,8,6
Nigeria,1/28/15,20,8
Guinea,1/28/15,2917,1910
Sierra Leone,1/28/15,10518,3199
Liberia,1/28/15,8622,3686
Spain,1/29/15,1,0
Senegal,1/29/15,1,0
United Kingdom,1/29/15,1,0
United States of America,1/29/15,4,1
Mali,1/29/15,8,6
Nigeria,1/29/15,20,8
Guinea,1/29/15,2921,1911
Sierra Leone,1/29/15,10537,3207
Liberia,1/29/15,8643,3700
Spain,1/30/15,1,0
United Kingdom,1/30/15,1,0
Senegal,1/30/15,1,0
United States of America,1/30/15,4,1
Mali,1/30/15,8,6
Nigeria,1/30/15,20,8
Guinea,1/30/15,2920,1913
Sierra Leone,1/30/15,10561,3216
Liberia,1/30/15,8643,3700
Senegal,2/2/15,1,0
Spain,2/2/15,1,0
United Kingdom,2/2/15,1,0
United States of America,2/2/15,4,1
Mali,2/2/15,8,6
Nigeria,2/2/15,20,8
Guinea,2/2/15,2959,1937
Sierra Leone,2/2/15,10707,3274
Liberia,2/2/15,8668,3710
Senegal,2/3/15,1,0
United Kingdom,2/3/15,1,0
Spain,2/3/15,1,0
United States of America,2/3/15,4,1
Mali,2/3/15,8,6
Nigeria,2/3/15,20,8
Guinea,2/3/15,2975,1944
Sierra Leone,2/3/15,10740,3276
Liberia,2/3/15,8729,3739
Spain,2/4/15,1,0
United Kingdom,2/4/15,1,0
Senegal,2/4/15,1,0
United States of America,2/4/15,4,1
Mali,2/4/15,8,6
Nigeria,2/4/15,20,8
Guinea,2/4/15,2975,1944
Sierra Leone,2/4/15,10740,3276
Liberia,2/4/15,8745,3746
United Kingdom,2/5/15,1,0
Senegal,2/5/15,1,0
Spain,2/5/15,1,0
United States of America,2/5/15,4,1
Mali,2/5/15,8,6
Nigeria,2/5/15,20,8
Guinea,2/5/15,2986,1947
Sierra Leone,2/5/15,10756,3286
Liberia,2/5/15,8745,3746
Spain,2/6/15,1,0
Senegal,2/6/15,1,0
United Kingdom,2/6/15,1,0
United States of America,2/6/15,4,1
Mali,2/6/15,8,6
Nigeria,2/6/15,20,8
Guinea,2/6/15,2988,1957
Sierra Leone,2/6/15,10792,3301
Liberia,2/6/15,8745,3746
Spain,2/10/15,1,0
Senegal,2/10/15,1,0
United Kingdom,2/10/15,1,0
United States of America,2/10/15,4,1
Mali,2/10/15,8,6
Nigeria,2/10/15,20,8
Guinea,2/10/15,3044,1995
Sierra Leone,2/10/15,10934,3341
Liberia,2/10/15,8881,3826
Senegal,2/11/15,1,0
Spain,2/11/15,1,0
United Kingdom,2/11/15,1,0
United States of America,2/11/15,4,1
Mali,2/11/15,8,6
Nigeria,2/11/15,20,8
Guinea,2/11/15,3044,1995
Sierra Leone,2/11/15,10934,3341
Liberia,2/11/15,8881,3826
United Kingdom,2/12/15,1,0
Senegal,2/12/15,1,0
Spain,2/12/15,1,0
United States of America,2/12/15,4,1
Mali,2/12/15,8,6
Nigeria,2/12/15,20,8
Guinea,2/12/15,3068,2018
Sierra Leone,2/12/15,10954,3350
Liberia,2/12/15,8881,3826
Senegal,2/13/15,1,0
Spain,2/13/15,1,0
United Kingdom,2/13/15,1,0
United States of America,2/13/15,4,1
Mali,2/13/15,8,6
Nigeria,2/13/15,20,8
Guinea,2/13/15,3081,2032
Sierra Leone,2/13/15,10987,3363
Liberia,2/13/15,8931,3858
United Kingdom,2/16/15,1,0
Senegal,2/16/15,1,0
Spain,2/16/15,1,0
United States of America,2/16/15,4,1
Mali,2/16/15,8,6
Nigeria,2/16/15,20,8
Guinea,2/16/15,3101,2052
Sierra Leone,2/16/15,11074,3401
Liberia,2/16/15,9007,3900
Spain,2/17/15,1,0
United Kingdom,2/17/15,1,0
Senegal,2/17/15,1,0
United States of America,2/17/15,4,1
Mali,2/17/15,8,6
Nigeria,2/17/15,20,8
Guinea,2/17/15,3108,2057
Sierra Leone,2/17/15,11103,3408
Liberia,2/17/15,9007,3900
United Kingdom,2/18/15,1,0
Spain,2/18/15,1,0
Senegal,2/18/15,1,0
United States of America,2/18/15,4,1
Mali,2/18/15,8,6
Nigeria,2/18/15,20,8
Guinea,2/18/15,3108,2057
Sierra Leone,2/18/15,11103,3408
Liberia,2/18/15,9007,3900
Senegal,2/19/15,1,0
Spain,2/19/15,1,0
United Kingdom,2/19/15,1,0
United States of America,2/19/15,4,1
Mali,2/19/15,8,6
Nigeria,2/19/15,20,8
Guinea,2/19/15,3115,2067
Sierra Leone,2/19/15,11155,3423
Liberia,2/19/15,9096,3947
United Kingdom,2/20/15,1,0
Spain,2/20/15,1,0
Senegal,2/20/15,1,0
United States of America,2/20/15,4,1
Mali,2/20/15,8,6
Nigeria,2/20/15,20,8
Guinea,2/20/15,3120,2072
Sierra Leone,2/20/15,11155,3423
Liberia,2/20/15,9096,3947
Senegal,2/23/15,1,0
Spain,2/23/15,1,0
United Kingdom,2/23/15,1,0
United States of America,2/23/15,4,1
Mali,2/23/15,8,6
Nigeria,2/23/15,20,8
Guinea,2/23/15,3155,2086
Sierra Leone,2/23/15,11155,3423
Liberia,2/23/15,9229,4032
United Kingdom,2/25/15,1,0
Senegal,2/25/15,1,0
Spain,2/25/15,1,0
United States of America,2/25/15,4,1
Mali,2/25/15,8,6
Nigeria,2/25/15,20,8
Guinea,2/25/15,3155,2091
Sierra Leone,2/25/15,11301,3461
Liberia,2/25/15,9238,4037
Senegal,2/26/15,1,0
United Kingdom,2/26/15,1,0
Spain,2/26/15,1,0
United States of America,2/26/15,4,1
Mali,2/26/15,8,6
Nigeria,2/26/15,20,8
Guinea,2/26/15,3175,2101
Sierra Leone,2/26/15,11341,3479
Liberia,2/26/15,9265,4057
United Kingdom,2/27/15,1,0
Senegal,2/27/15,1,0
Spain,2/27/15,1,0
United States of America,2/27/15,4,1
Mali,2/27/15,8,6
Nigeria,2/27/15,20,8
Guinea,2/27/15,3190,2113
Sierra Leone,2/27/15,11370,3490
Liberia,2/27/15,9265,4057
United Kingdom,3/2/15,1,0
Spain,3/2/15,1,0
Senegal,3/2/15,1,0
United States of America,3/2/15,4,1
Mali,3/2/15,8,6
Nigeria,3/2/15,20,8
Guinea,3/2/15,3205,2127
Sierra Leone,3/2/15,11443,3530
Liberia,3/2/15,9265,4057
Senegal,3/4/15,1,0
Spain,3/4/15,1,0
United Kingdom,3/4/15,1,0
United States of America,3/4/15,4,1
Mali,3/4/15,8,6
Nigeria,3/4/15,20,8
Guinea,3/4/15,3205,2127
Sierra Leone,3/4/15,11443,3530
Liberia,3/4/15,9265,4057
United Kingdom,3/5/15,1,0
Spain,3/5/15,1,0
Senegal,3/5/15,1,0
United States of America,3/5/15,4,1
Mali,3/5/15,8,6
Nigeria,3/5/15,20,8
Guinea,3/5/15,3237,2141
Sierra Leone,3/5/15,11497,3565
Liberia,3/5/15,9249,4117
Spain,3/6/15,1,0
Senegal,3/6/15,1,0
United Kingdom,3/6/15,1,0
United States of America,3/6/15,4,1
Mali,3/6/15,8,6
Nigeria,3/6/15,20,8
Guinea,3/6/15,3248,2147
Sierra Leone,3/6/15,11517,3576
Liberia,3/6/15,9249,4117
Spain,3/10/15,1,0
United Kingdom,3/10/15,1,0
Senegal,3/10/15,1,0
United States of America,3/10/15,4,1
Mali,3/10/15,8,6
Nigeria,3/10/15,20,8
Guinea,3/10/15,3285,2170
Sierra Leone,3/10/15,11619,3629
Liberia,3/10/15,9343,4162
United Kingdom,3/11/15,1,0
Senegal,3/11/15,1,0
Spain,3/11/15,1,0
United States of America,3/11/15,4,1
Mali,3/11/15,8,6
Nigeria,3/11/15,20,8
Guinea,3/11/15,3285,2170
Sierra Leone,3/11/15,11619,3629
Liberia,3/11/15,9343,4162
Spain,3/12/15,1,0
United Kingdom,3/12/15,1,0
Senegal,3/12/15,1,0
United States of America,3/12/15,4,1
Mali,3/12/15,8,6
Nigeria,3/12/15,20,8
Guinea,3/12/15,3330,2187
Sierra Leone,3/12/15,11677,3655
Liberia,3/12/15,9343,4162
Spain,3/13/15,1,0
United Kingdom,3/13/15,1,0
Senegal,3/13/15,1,0
United States of America,3/13/15,4,1
Mali,3/13/15,8,6
Nigeria,3/13/15,20,8
Guinea,3/13/15,3331,2192
Sierra Leone,3/13/15,11696,3663
Liberia,3/13/15,9482,4241
Senegal,3/16/15,1,0
Spain,3/16/15,1,0
United Kingdom,3/16/15,1,0
United States of America,3/16/15,4,1
Mali,3/16/15,8,6
Nigeria,3/16/15,20,8
Guinea,3/16/15,3373,2216
Sierra Leone,3/16/15,11742,3687
Liberia,3/16/15,9482,4241
Senegal,3/17/15,1,0
Spain,3/17/15,1,0
United Kingdom,3/17/15,1,0
United States of America,3/17/15,4,1
Mali,3/17/15,8,6
Nigeria,3/17/15,20,8
Guinea,3/17/15,3389,2224
Sierra Leone,3/17/15,11751,3691
Liberia,3/17/15,9526,4264
Spain,3/18/15,1,0
United Kingdom,3/18/15,1,0
Senegal,3/18/15,1,0
United States of America,3/18/15,4,1
Mali,3/18/15,8,6
Nigeria,3/18/15,20,8
Guinea,3/18/15,3389,2224
Sierra Leone,3/18/15,11751,3691
Liberia,3/18/15,9526,4264
United Kingdom,3/20/15,1,0
Senegal,3/20/15,1,0
Spain,3/20/15,1,0
United States of America,3/20/15,4,1
Mali,3/20/15,8,6
Nigeria,3/20/15,20,8
Guinea,3/20/15,3404,2241
Sierra Leone,3/20/15,11794,3712
Liberia,3/20/15,9555,4283
Senegal,3/23/15,1,0
United Kingdom,3/23/15,1,0
Spain,3/23/15,1,0
United States of America,3/23/15,4,1
Mali,3/23/15,8,6
Nigeria,3/23/15,20,8
Guinea,3/23/15,3420,2261
Sierra Leone,3/23/15,11829,3742
Liberia,3/23/15,9593,4296
Senegal,3/24/15,1,0
Spain,3/24/15,1,0
United Kingdom,3/24/15,1,0
United States of America,3/24/15,4,1
Mali,3/24/15,8,6
Nigeria,3/24/15,20,8
Guinea,3/24/15,3429,2263
Sierra Leone,3/24/15,11841,3747
Liberia,3/24/15,9602,4301
Senegal,3/25/15,1,0
Spain,3/25/15,1,0
United Kingdom,3/25/15,1,0
United States of America,3/25/15,4,1
Mali,3/25/15,8,6
Nigeria,3/25/15,20,8
Guinea,3/25/15,3429,2263
Sierra Leone,3/25/15,11841,3747
Liberia,3/25/15,9602,4301
Spain,3/26/15,1,0
Senegal,3/26/15,1,0
United Kingdom,3/26/15,1,0
United States of America,3/26/15,4,1
Mali,3/26/15,8,6
Nigeria,3/26/15,20,8
Guinea,3/26/15,3459,2273
Sierra Leone,3/26/15,11866,3764
Liberia,3/26/15,9602,4301
Spain,3/27/15,1,0
Senegal,3/27/15,1,0
United Kingdom,3/27/15,1,0
United States of America,3/27/15,4,1
Mali,3/27/15,8,6
Nigeria,3/27/15,20,8
Guinea,3/27/15,3466,2276
Sierra Leone,3/27/15,11889,3773
Liberia,3/27/15,9602,4301
Spain,4/7/15,1,0
Senegal,4/7/15,1,0
United Kingdom,4/7/15,1,0
United States of America,4/7/15,4,1
Mali,4/7/15,8,6
Nigeria,4/7/15,20,8
Guinea,4/7/15,3515,2333
Sierra Leone,4/7/15,12139,3832
Liberia,4/7/15,9862,4408
United Kingdom,4/9/15,1,0
Senegal,4/9/15,1,0
Spain,4/9/15,1,0
United States of America,4/9/15,4,1
Mali,4/9/15,8,6
Nigeria,4/9/15,20,8
Guinea,4/9/15,3515,2335
Sierra Leone,4/9/15,12155,3841
Liberia,4/9/15,9862,4408
Senegal,4/13/15,1,0
Spain,4/13/15,1,0
United Kingdom,4/13/15,1,0
United States of America,4/13/15,4,1
Mali,4/13/15,8,6
Nigeria,4/13/15,20,8
Guinea,4/13/15,3541,2342
Sierra Leone,4/13/15,12188,3854
Liberia,4/13/15,9862,4408
United Kingdom,4/14/15,1,0
Senegal,4/14/15,1,0
Spain,4/14/15,1,0
United States of America,4/14/15,4,1
Mali,4/14/15,8,6
Nigeria,4/14/15,20,8
Guinea,4/14/15,3548,2346
Sierra Leone,4/14/15,12201,3857
Liberia,4/14/15,9862,4408
Senegal,4/15/15,1,0
Spain,4/15/15,1,0
United Kingdom,4/15/15,1,0
United States of America,4/15/15,4,1
Mali,4/15/15,8,6
Nigeria,4/15/15,20,8
Guinea,4/15/15,3548,2346
Sierra Leone,4/15/15,12201,3857
Liberia,4/15/15,10042,4486
Spain,4/16/15,1,0
United Kingdom,4/16/15,1,0
Senegal,4/16/15,1,0
United States of America,4/16/15,4,1
Mali,4/16/15,8,6
Nigeria,4/16/15,20,8
Guinea,4/16/15,3566,2348
Sierra Leone,4/16/15,12223,3865
Liberia,4/16/15,10042,4486
United Kingdom,4/17/15,1,0
Senegal,4/17/15,1,0
Spain,4/17/15,1,0
United States of America,4/17/15,4,1
Mali,4/17/15,8,6
Nigeria,4/17/15,20,8
Guinea,4/17/15,3569,2351
Sierra Leone,4/17/15,12244,3865
Liberia,4/17/15,10042,4486
United Kingdom,4/20/15,1,0
Senegal,4/20/15,1,0
Spain,4/20/15,1,0
United States of America,4/20/15,4,1
Mali,4/20/15,8,6
Nigeria,4/20/15,20,8
Guinea,4/20/15,3565,2357
Sierra Leone,4/20/15,12256,3872
Liberia,4/20/15,10042,4486
Spain,4/21/15,1,0
Senegal,4/21/15,1,0
United Kingdom,4/21/15,1,0
United States of America,4/21/15,4,1
Mali,4/21/15,8,6
Nigeria,4/21/15,20,8
Guinea,4/21/15,3565,2358
Sierra Leone,4/21/15,12265,3877
Liberia,4/21/15,10042,4486
United Kingdom,4/22/15,1,0
Spain,4/22/15,1,0
Senegal,4/22/15,1,0
United States of America,4/22/15,4,1
Mali,4/22/15,8,6
Nigeria,4/22/15,20,8
Guinea,4/22/15,3565,2358
Sierra Leone,4/22/15,12267,3877
Liberia,4/22/15,10212,4573
United Kingdom,4/23/15,1,0
Spain,4/23/15,1,0
Senegal,4/23/15,1,0
United States of America,4/23/15,4,1
Mali,4/23/15,8,6
Nigeria,4/23/15,20,8
Guinea,4/23/15,3568,2362
Sierra Leone,4/23/15,12294,3885
Liberia,4/23/15,10212,4573
Spain,4/24/15,1,0
United Kingdom,4/24/15,1,0
Senegal,4/24/15,1,0
United States of America,4/24/15,4,1
Mali,4/24/15,8,6
Nigeria,4/24/15,20,8
Guinea,4/24/15,3576,2365
Sierra Leone,4/24/15,12313,3886
Liberia,4/24/15,10212,4573
